area,year,month,agg_id,total_crimes
16,2016,1,800,64
18,2016,1,800,34
15,2016,1,400,34
8,2016,1,850,65
11,2016,1,725,34
3,2016,1,2400,34
13,2016,1,1900,67
13,2016,1,2400,33
1,2016,1,725,68
9,2016,1,400,33
6,2016,1,1700,9
21,2016,1,1900,68
7,2016,1,800,69
8,2016,1,1900,69
21,2016,1,775,234
17,2016,1,300,69
9,2016,1,775,194
7,2016,1,725,32
17,2016,1,775,193
16,2016,1,300,70
18,2016,1,725,70
2,2016,1,400,71
3,2016,1,800,71
3,2016,1,775,192
15,2016,1,750,191
20,2016,1,850,71
3,2016,1,725,72
1,2016,1,775,188
15,2016,1,1900,72
7,2016,1,775,187
6,2016,1,850,74
9,2016,1,1700,10
5,2016,1,1700,30
13,2016,1,725,74
20,2016,1,750,182
2,2016,1,850,75
1,2016,1,2400,30
16,2016,1,1700,10
19,2016,1,725,29
7,2016,1,850,50
1,2016,1,1700,11
2,2016,1,1700,11
12,2016,1,2400,29
4,2016,1,1700,11
9,2016,1,1900,76
20,2016,1,1900,76
3,2016,1,1700,29
12,2016,1,800,78
10,2016,1,725,28
16,2016,1,725,11
4,2016,1,1900,79
9,2016,1,850,79
11,2016,1,800,79
19,2016,1,800,79
2,2016,1,1900,80
8,2016,1,300,80
10,2016,1,300,80
14,2016,1,400,27
11,2016,1,400,27
7,2016,1,1900,82
16,2016,1,750,82
17,2016,1,1900,82
1,2016,1,800,27
3,2016,1,400,83
21,2016,1,400,26
4,2016,1,800,52
8,2016,1,725,12
18,2016,1,2400,26
12,2016,1,300,168
9,2016,1,2400,26
14,2016,1,750,167
5,2016,1,1900,85
12,2016,1,850,166
11,2016,1,750,166
4,2016,1,725,26
11,2016,1,775,231
11,2016,1,300,86
13,2016,1,400,86
18,2016,1,300,165
17,2016,1,750,165
8,2016,1,800,87
12,2016,1,725,88
14,2016,1,300,88
16,2016,1,850,89
10,2016,1,775,163
4,2016,1,400,47
6,2016,1,1900,91
14,2016,1,1900,91
1,2016,1,1900,92
10,2016,1,800,92
11,2016,1,1900,92
12,2016,1,775,161
12,2016,1,1700,24
10,2016,1,400,24
21,2016,1,300,92
7,2016,1,2400,24
10,2016,1,1700,13
8,2016,1,750,160
13,2016,1,750,94
14,2016,1,725,23
17,2016,1,725,13
1,2016,1,750,98
5,2016,1,300,98
18,2016,1,1900,98
21,2016,1,1700,13
2,2016,1,750,100
15,2016,1,850,100
18,2016,1,1700,22
2,2016,1,775,156
5,2016,1,2400,14
19,2016,1,775,155
15,2016,1,725,22
12,2016,1,1900,101
5,2016,1,750,155
3,2016,1,1900,102
7,2016,1,300,102
16,2016,1,1900,102
8,2016,1,1700,14
2,2016,1,2400,22
20,2016,1,2400,21
20,2016,1,775,153
18,2016,1,775,105
19,2016,1,850,105
15,2016,1,2400,21
17,2016,1,400,43
4,2016,1,750,107
9,2016,1,300,107
16,2016,1,2400,14
17,2016,1,800,107
9,2016,1,725,21
17,2016,1,1700,14
14,2016,1,850,108
15,2016,1,1700,2
19,2016,1,1900,108
19,2016,1,2400,14
10,2016,1,750,150
21,2016,1,2400,14
21,2016,1,725,20
6,2016,1,2400,15
21,2016,1,750,110
12,2016,1,400,149
17,2016,1,2400,20
7,2016,1,1700,15
1,2016,1,300,149
21,2016,1,800,112
3,2016,1,750,148
6,2016,1,750,114
16,2016,1,775,114
13,2016,1,1700,15
3,2016,1,300,147
11,2016,1,850,117
11,2016,1,1700,19
13,2016,1,300,119
15,2016,1,800,119
5,2016,1,850,120
20,2016,1,1700,15
8,2016,1,2400,19
15,2016,1,300,121
4,2016,1,2400,19
13,2016,1,850,145
3,2016,1,850,122
14,2016,1,775,248
4,2016,1,300,122
18,2016,1,850,123
2,2016,1,300,125
1,2016,1,850,55
4,2016,1,850,125
13,2016,1,775,125
12,2016,1,750,126
19,2016,1,750,141
10,2016,1,2400,18
20,2016,1,300,127
8,2016,1,400,18
7,2016,1,400,18
2,2017,1,1900,93
10,2017,1,2400,17
10,2017,1,725,26
20,2017,1,725,84
20,2017,1,775,167
5,2017,1,400,55
8,2017,1,725,26
2,2017,1,850,68
13,2017,1,2400,33
7,2017,1,400,26
9,2017,1,1900,67
6,2017,1,1900,85
2,2017,1,300,133
17,2017,1,1900,85
20,2017,1,850,85
9,2017,1,800,86
10,2017,1,775,147
16,2017,1,725,17
11,2017,1,775,203
11,2017,1,800,66
16,2017,1,1700,12
8,2017,1,850,66
18,2017,1,750,116
8,2017,1,800,66
17,2017,1,725,25
20,2017,1,400,49
11,2017,1,300,87
12,2017,1,1700,34
12,2017,1,300,206
10,2017,1,750,207
13,2017,1,400,64
1,2017,1,1900,88
11,2017,1,725,25
4,2017,1,300,88
10,2017,1,1700,25
8,2017,1,1700,7
13,2017,1,1900,89
3,2017,1,775,209
6,2017,1,1700,7
12,2017,1,1900,117
16,2017,1,1900,63
14,2017,1,750,162
8,2017,1,775,211
1,2017,1,300,162
7,2017,1,2400,13
17,2017,1,400,35
3,2017,1,1900,131
16,2017,1,2400,15
18,2017,1,1900,92
20,2017,1,300,130
9,2017,1,1700,13
18,2017,1,2400,35
21,2017,1,850,83
4,2017,1,1900,93
9,2017,1,850,93
11,2017,1,2400,13
6,2017,1,750,139
3,2017,1,300,160
11,2017,1,1900,94
15,2017,1,750,214
18,2017,1,1700,15
12,2017,1,2400,36
18,2017,1,400,96
13,2017,1,850,158
6,2017,1,400,49
2,2017,1,800,47
12,2017,1,800,60
14,2017,1,2400,18
15,2017,1,1900,119
5,2017,1,750,99
17,2017,1,775,242
12,2017,1,775,157
15,2017,1,850,99
19,2017,1,1900,99
6,2017,1,725,37
15,2017,1,800,119
9,2017,1,300,100
8,2017,1,1900,60
2,2017,1,400,60
12,2017,1,400,120
7,2017,1,1900,53
9,2017,1,2400,16
19,2017,1,400,59
2,2017,1,750,130
17,2017,1,2400,22
20,2017,1,1700,15
16,2017,1,400,37
6,2017,1,300,130
14,2017,1,850,101
11,2017,1,1700,16
20,2017,1,1900,101
14,2017,1,775,222
19,2017,1,1700,17
15,2017,1,1700,1
7,2017,1,850,59
7,2017,1,800,59
16,2017,1,750,103
3,2017,1,725,59
8,2017,1,300,53
21,2017,1,775,252
11,2017,1,850,105
13,2017,1,775,153
13,2017,1,300,153
3,2017,1,2400,18
15,2017,1,725,21
15,2017,1,2400,21
14,2017,1,725,21
4,2017,1,2400,18
6,2017,1,800,58
4,2017,1,400,58
9,2017,1,775,225
13,2017,1,1700,14
18,2017,1,300,152
13,2017,1,750,107
14,2017,1,800,44
15,2017,1,775,226
18,2017,1,800,38
3,2017,1,850,122
17,2017,1,750,249
20,2017,1,750,151
17,2017,1,800,107
12,2017,1,725,122
15,2017,1,300,108
18,2017,1,850,108
19,2017,1,800,108
21,2017,1,300,108
4,2017,1,850,109
7,2017,1,750,144
21,2017,1,1700,20
4,2017,1,775,124
3,2017,1,800,57
2,2017,1,775,130
2,2017,1,2400,15
20,2017,1,2400,20
3,2017,1,1700,15
15,2017,1,400,45
10,2017,1,400,30
8,2017,1,2400,10
21,2017,1,750,184
14,2017,1,400,30
19,2017,1,725,20
18,2017,1,775,110
6,2017,1,775,184
16,2017,1,300,74
21,2017,1,725,29
6,2017,1,2400,15
21,2017,1,400,29
7,2017,1,300,75
10,2017,1,850,75
16,2017,1,775,143
5,2017,1,850,73
1,2017,1,400,50
14,2017,1,300,75
5,2017,1,2400,16
12,2017,1,750,143
18,2017,1,725,75
5,2017,1,300,111
11,2017,1,400,29
12,2017,1,850,137
4,2017,1,1700,31
5,2017,1,1700,31
10,2017,1,1900,76
10,2017,1,800,76
9,2017,1,400,31
17,2017,1,1700,18
10,2017,1,300,71
5,2017,1,1900,77
8,2017,1,400,11
1,2017,1,775,238
19,2017,1,775,176
21,2017,1,1900,77
9,2017,1,750,176
6,2017,1,850,78
4,2017,1,750,71
7,2017,1,775,176
1,2017,1,725,71
19,2017,1,750,148
7,2017,1,1700,15
14,2017,1,1700,9
8,2017,1,750,175
16,2017,1,800,78
7,2017,1,725,28
5,2017,1,725,28
1,2017,1,800,51
3,2017,1,750,137
11,2017,1,750,174
20,2017,1,800,69
5,2017,1,800,44
19,2017,1,850,134
13,2017,1,800,32
3,2017,1,400,80
16,2017,1,850,112
1,2017,1,850,69
17,2017,1,850,80
2,2017,1,1700,12
9,2017,1,725,20
17,2017,1,300,68
4,2017,1,800,41
1,2017,1,1700,3
5,2017,1,775,143
4,2017,1,725,33
1,2017,1,2400,27
2,2017,1,725,54
19,2017,1,300,113
13,2017,1,725,68
21,2017,1,2400,26
21,2017,1,800,113
14,2017,1,1900,83
1,2017,1,750,114
19,2017,1,2400,26
11,2018,1,750,153
6,2018,1,2400,16
5,2018,1,300,113
6,2018,1,725,68
11,2018,1,400,26
1,2018,1,400,73
4,2018,1,300,130
21,2018,1,800,84
8,2018,1,850,55
13,2018,1,750,106
9,2018,1,400,33
2,2018,1,400,68
8,2018,1,400,26
4,2018,1,2400,20
3,2018,1,750,153
4,2018,1,800,41
3,2018,1,300,167
13,2018,1,725,72
13,2018,1,2400,21
16,2018,1,750,106
2,2018,1,1700,20
16,2018,1,300,128
14,2018,1,750,166
20,2018,1,400,49
4,2018,1,725,26
12,2018,1,1700,17
10,2018,1,1900,70
10,2018,1,750,166
11,2018,1,725,29
17,2018,1,750,132
5,2018,1,2400,16
5,2018,1,850,86
13,2018,1,300,174
1,2018,1,750,128
14,2018,1,1700,12
8,2018,1,300,76
18,2018,1,300,144
17,2018,1,300,81
14,2018,1,850,107
20,2018,1,775,165
11,2018,1,775,194
21,2018,1,2400,25
20,2018,1,725,57
15,2018,1,2400,14
18,2018,1,775,116
5,2018,1,775,135
17,2018,1,1900,65
21,2018,1,300,82
5,2018,1,400,51
16,2018,1,2400,17
3,2018,1,400,82
14,2018,1,400,25
15,2018,1,775,272
9,2018,1,775,190
19,2018,1,800,71
10,2018,1,850,71
16,2018,1,1700,14
8,2018,1,800,64
16,2018,1,725,14
6,2018,1,775,227
7,2018,1,1900,88
3,2018,1,1900,108
9,2018,1,750,117
8,2018,1,1700,7
2,2018,1,300,139
2,2018,1,775,123
5,2018,1,1900,89
19,2018,1,775,163
20,2018,1,1700,18
8,2018,1,725,16
17,2018,1,800,63
11,2018,1,800,50
14,2018,1,1900,90
21,2018,1,1700,17
6,2018,1,1700,7
19,2018,1,2400,18
6,2018,1,750,151
13,2018,1,850,117
19,2018,1,850,117
14,2018,1,300,91
14,2018,1,775,263
12,2018,1,850,123
18,2018,1,1700,14
20,2018,1,850,76
3,2018,1,1700,29
15,2018,1,725,24
7,2018,1,1700,13
7,2018,1,2400,13
3,2018,1,850,118
8,2018,1,2400,18
1,2018,1,300,212
11,2018,1,1900,69
5,2018,1,750,109
13,2018,1,400,63
4,2018,1,850,118
13,2018,1,1700,19
11,2018,1,2400,24
12,2018,1,750,146
3,2018,1,2400,49
12,2018,1,725,150
21,2018,1,400,38
3,2018,1,725,77
21,2018,1,775,258
12,2018,1,775,160
5,2018,1,725,33
6,2018,1,300,130
8,2018,1,1900,63
15,2018,1,1700,0
7,2018,1,800,45
9,2018,1,1900,82
6,2018,1,850,63
18,2018,1,750,93
4,2018,1,1700,36
1,2018,1,2400,29
14,2018,1,800,56
7,2018,1,400,36
10,2018,1,300,94
9,2018,1,850,77
12,2018,1,1900,125
18,2018,1,2400,23
18,2018,1,800,48
11,2018,1,300,95
3,2018,1,800,56
9,2018,1,800,62
14,2018,1,2400,23
20,2018,1,1900,95
15,2018,1,300,148
19,2018,1,1700,27
11,2018,1,850,96
6,2018,1,400,62
2,2018,1,850,69
1,2018,1,725,56
4,2018,1,750,97
10,2018,1,725,23
17,2018,1,850,55
7,2018,1,725,40
16,2018,1,775,128
10,2018,1,400,23
2,2018,1,725,61
7,2018,1,750,158
9,2018,1,2400,23
5,2018,1,800,37
16,2018,1,1900,73
3,2018,1,775,218
21,2018,1,725,40
8,2018,1,750,186
12,2018,1,2400,43
1,2018,1,850,43
18,2018,1,725,73
13,2018,1,775,134
1,2018,1,1700,6
19,2018,1,725,20
12,2018,1,300,176
4,2018,1,1900,78
17,2018,1,1700,16
13,2018,1,1900,82
10,2018,1,1700,16
6,2018,1,1900,100
16,2018,1,400,31
8,2018,1,775,184
7,2018,1,850,60
15,2018,1,850,82
18,2018,1,850,110
15,2018,1,1900,100
17,2018,1,2400,20
19,2018,1,400,47
17,2018,1,775,186
15,2018,1,400,37
10,2018,1,775,143
17,2018,1,725,22
21,2018,1,850,54
16,2018,1,800,74
9,2018,1,300,101
19,2018,1,300,143
21,2018,1,750,145
19,2018,1,1900,110
14,2018,1,725,22
10,2018,1,800,80
9,2018,1,1700,17
15,2018,1,750,168
18,2018,1,1900,101
12,2018,1,800,47
20,2018,1,800,43
20,2018,1,2400,31
11,2018,1,1700,22
12,2018,1,400,121
20,2018,1,300,127
10,2018,1,2400,11
2,2018,1,1900,73
2,2018,1,750,103
9,2018,1,725,22
2,2018,1,2400,18
13,2018,1,800,27
5,2018,1,1700,22
7,2018,1,300,104
15,2018,1,800,121
7,2018,1,775,198
17,2018,1,400,29
1,2018,1,800,22
4,2018,1,400,38
16,2018,1,850,75
6,2018,1,800,58
1,2018,1,775,237
4,2018,1,775,130
19,2018,1,750,121
18,2018,1,400,105
2,2018,1,800,33
21,2018,1,1900,70
20,2018,1,750,179
1,2018,1,1900,106
4,2015,2,2400,23
7,2015,2,1900,44
11,2015,2,400,44
3,2015,2,400,47
20,2015,2,725,46
5,2015,2,400,46
7,2015,2,850,45
16,2015,2,1700,5
6,2015,2,1700,6
14,2015,2,1700,6
9,2015,2,1700,7
8,2015,2,775,208
17,2015,2,775,204
15,2015,2,725,8
15,2015,2,775,194
21,2015,2,725,9
12,2015,2,300,187
8,2015,2,400,10
15,2015,2,750,182
1,2015,2,775,181
21,2015,2,775,179
7,2015,2,1700,11
15,2015,2,1700,11
16,2015,2,725,11
5,2015,2,2400,12
17,2015,2,750,169
8,2015,2,725,12
10,2015,2,1700,12
7,2015,2,775,166
17,2015,2,725,12
6,2015,2,2400,13
10,2015,2,2400,13
9,2015,2,775,160
13,2015,2,1700,13
19,2015,2,775,159
17,2015,2,1700,13
9,2015,2,750,158
4,2015,2,1700,14
8,2015,2,750,154
11,2015,2,1700,14
11,2015,2,2400,14
14,2015,2,750,152
2,2015,2,1700,15
6,2015,2,775,148
3,2015,2,300,148
15,2015,2,2400,15
19,2015,2,725,15
