area,year,month,agg_id,total_crimes
8,2018,12,1700,7
4,2018,2,750,81
13,2016,11,1700,27
19,2018,1,775,163
3,2017,4,800,36
10,2016,11,775,143
3,2017,10,300,184
17,2016,4,725,15
21,2016,7,1900,79
2,2018,12,1700,18
13,2016,3,750,88
14,2016,5,750,156
6,2015,4,775,187
19,2016,6,725,32
12,2018,2,775,169
10,2017,12,800,82
8,2018,12,725,31
21,2015,7,750,116
12,2018,12,400,118
12,2016,11,1900,130
12,2015,3,1700,37
12,2018,10,1900,134
15,2015,10,725,26
20,2016,12,400,39
14,2015,12,2400,17
2,2016,4,850,64
2,2018,12,750,134
8,2015,11,2400,10
13,2018,7,850,124
3,2018,10,2400,30
19,2017,5,300,126
11,2017,4,1700,12
17,2015,5,300,86
11,2015,11,750,118
11,2016,9,850,102
19,2018,1,2400,18
8,2015,5,2400,18
5,2017,2,2400,24
17,2018,1,750,132
20,2018,2,800,28
3,2017,7,300,222
21,2015,5,775,238
16,2016,2,750,68
4,2015,8,1700,11
11,2017,2,1900,92
14,2017,8,750,174
10,2017,7,800,89
2,2017,11,725,52
8,2016,4,300,73
8,2015,9,2400,27
2,2017,7,750,116
4,2015,12,750,71
20,2018,12,1700,24
18,2016,11,300,152
20,2018,11,800,31
16,2018,3,750,104
3,2015,8,1900,105
9,2018,1,2400,23
7,2016,10,2400,15
7,2015,7,1900,63
11,2015,3,775,172
20,2017,7,725,78
13,2018,9,2400,37
21,2017,2,800,85
13,2016,4,400,84
3,2016,8,400,82
2,2016,2,1700,23
15,2015,11,775,214
20,2015,6,750,108
5,2016,12,1900,72
14,2015,2,800,60
10,2018,10,750,130
21,2015,10,750,146
21,2017,12,725,31
21,2016,1,300,92
13,2016,5,2400,34
4,2016,2,750,97
17,2018,10,750,139
10,2017,4,850,65
13,2016,7,1700,23
18,2017,1,800,38
10,2016,7,775,160
19,2016,3,775,161
9,2018,9,400,38
10,2018,7,725,24
2,2015,8,300,139
2,2017,9,2400,24
17,2016,1,400,43
20,2018,1,400,49
7,2015,1,775,196
7,2015,10,300,102
13,2018,9,775,147
8,2015,10,400,21
5,2015,1,1700,24
1,2016,5,1900,85
15,2017,1,1700,1
19,2015,6,850,90
17,2015,1,750,162
17,2017,3,725,17
12,2016,7,750,145
6,2017,5,300,151
18,2015,8,850,107
10,2016,10,1900,76
1,2018,3,750,149
20,2018,3,2400,32
14,2015,11,1700,9
1,2015,6,1700,4
21,2016,5,2400,15
14,2015,3,2400,16
2,2015,11,750,87
5,2016,6,800,25
18,2015,8,725,101
16,2016,5,800,58
20,2018,8,1700,18
18,2017,6,775,139
17,2018,6,800,51
12,2015,5,775,159
11,2016,8,775,184
21,2017,11,400,30
18,2017,8,400,122
3,2016,4,1900,102
10,2016,1,1900,56
5,2015,4,725,22
9,2018,2,850,66
12,2018,4,2400,37
2,2016,9,400,56
4,2015,7,850,116
9,2015,1,775,190
11,2018,10,400,35
14,2016,9,800,46
9,2016,6,2400,26
2,2017,3,750,110
17,2017,1,400,35
5,2015,8,775,146
7,2015,5,1900,63
1,2017,4,2400,30
16,2015,7,725,19
11,2015,7,400,42
5,2015,8,725,34
10,2018,12,725,17
4,2015,7,775,110
8,2017,2,850,57
17,2017,5,2400,19
21,2016,7,725,22
6,2015,2,800,42
17,2016,11,725,27
5,2016,11,400,67
16,2016,11,1900,61
12,2016,4,850,94
7,2015,9,800,50
15,2015,8,300,140
1,2016,2,300,172
1,2018,12,1700,7
3,2017,2,300,146
